framenum,time,gaze_pos.ordinal,gaze_pos.onset,gaze_pos.offset,AOI,trials.ordinal,trials.onset,trials.offset,trials.number
296,110035,,,,,,,,
297,110068,,,,,,,,
298,110101,,,,,,,,
299,110134,,,,,,,,
300,110167,,,,,,,,
301,110200,,,,,,,,
302,110233,,,,,,,,
303,110266,,,,,,,,
304,110299,,,,,,,,
305,110332,,,,,,,,
306,110365,,,,,,,,
307,110398,,,,,,,,
308,110431,,,,,,,,
309,110464,,,,,,,,
310,110497,,,,,,,,
311,110530,,,,,,,,
312,110563,,,,,,,,
313,110596,,,,,,,,
314,110629,,,,,,,,
315,110662,,,,,,,,
316,110695,,,,,,,,
317,110728,,,,,,,,
318,110761,,,,,,,,
319,110794,,,,,,,,
320,110827,,,,,,,,
321,110860,,,,,,,,
322,110893,,,,,,,,
323,110926,,,,,,,,
324,110959,,,,,,,,
325,110992,,,,,,,,
326,111025,,,,,,,,
327,111058,,,,,,,,
328,111091,,,,,,,,
329,111124,,,,,,,,
330,111157,,,,,,,,
331,111190,,,,,,,,
332,111223,,,,,,,,
333,111256,,,,,,,,
334,111289,,,,,,,,
335,111322,,,,,,,,
336,111355,,,,,,,,
337,111388,,,,,,,,
338,111421,,,,,,,,
339,111454,,,,,,,,
340,111487,,,,,,,,
341,111520,,,,,,,,
342,111553,,,,,,,,
343,111586,,,,,,,,
344,111619,,,,,,,,
345,111652,,,,,,,,
346,111685,,,,,,,,
347,111718,,,,,,,,
348,111751,,,,,,,,
349,111784,,,,,,,,
350,111817,,,,,,,,
351,111850,,,,,,,,
352,111883,,,,,,,,
353,111916,,,,,,,,
354,111949,,,,,,,,
355,111982,,,,,,,,
356,112015,,,,,,,,
357,112048,,,,,,,,
358,112081,,,,,,,,
359,112114,,,,,,,,
360,112147,,,,,,,,
361,112180,,,,,,,,
362,112213,,,,,,,,
363,112246,,,,,,,,
364,112279,,,,,,,,
365,112312,,,,,,,,
366,112345,,,,,,,,
367,112378,,,,,,,,
368,112411,,,,,,,,
369,112444,,,,,,,,
370,112477,,,,,,,,
371,112510,,,,,,,,
372,112543,,,,,,,,
373,112576,,,,,,,,
374,112609,,,,,,,,
375,112642,,,,,,,,
376,112675,,,,,,,,
377,112708,,,,,,,,
378,112741,,,,,,,,
379,112774,,,,,,,,
380,112807,,,,,,,,
381,112840,,,,,,,,
382,112873,,,,,,,,
383,112906,,,,,,,,
384,112939,,,,,,,,
385,112972,,,,,,,,
386,113005,,,,,,,,
387,113038,,,,,,,,
388,113071,,,,,,,,
389,113104,,,,,,,,
390,113137,,,,,,,,
391,113170,,,,,,,,
392,113203,,,,,,,,
393,113236,,,,,,,,
394,113269,,,,,,,,
395,113302,,,,,,,,
396,113335,,,,,,,,
397,113368,,,,,,,,
398,113401,,,,,,,,
399,113434,,,,,,,,
400,113467,,,,,,,,
401,113500,,,,,,,,
402,113533,,,,,,,,
403,113566,,,,,,,,
404,113599,,,,,,,,
405,113632,,,,,,,,
406,113665,,,,,,,,
407,113698,,,,,,,,
408,113731,,,,,,,,
409,113764,,,,,,,,
410,113797,,,,,,,,
411,113830,,,,,,,,
412,113863,,,,,,,,
413,113896,,,,,,,,
414,113929,,,,,,,,
415,113962,,,,,,,,
416,113995,,,,,,,,
417,114028,,,,,,,,
418,114061,,,,,,,,
419,114094,,,,,,,,
420,114127,,,,,,,,
421,114160,,,,,,,,
422,114193,,,,,,,,
423,114226,,,,,,,,
424,114259,,,,,,,,
425,114292,,,,,,,,
426,114325,,,,,,,,
427,114358,,,,,,,,
428,114391,,,,,,,,
429,114424,,,,,,,,
430,114457,,,,,,,,
431,114490,,,,,,,,
432,114523,,,,,,,,
433,114556,,,,,,,,
434,114589,,,,,,,,
435,114622,,,,,,,,
436,114655,,,,,,,,
437,114688,,,,,,,,
438,114721,,,,,,,,
439,114754,,,,,,,,
440,114787,,,,,,,,
441,114820,,,,,,,,
442,114853,,,,,,,,
443,114886,,,,,,,,
444,114919,,,,,,,,
445,114952,,,,,,,,
446,114985,,,,,,,,
447,115018,,,,,,,,
448,115051,,,,,,,,
449,115084,,,,,,,,
450,115117,,,,,,,,
451,115150,,,,,,,,
452,115183,,,,,,,,
453,115216,,,,,,,,
454,115249,,,,,,,,
455,115282,,,,,,,,
456,115315,,,,,,,,
457,115348,,,,,,,,
458,115381,,,,,,,,
459,115414,,,,,,,,
460,115447,,,,,,,,
461,115480,,,,,,,,
462,115513,,,,,,,,
463,115546,,,,,,,,
464,115579,,,,,,,,
465,115612,,,,,,,,
466,115645,,,,,,,,
467,115678,,,,,,,,
468,115711,,,,,,,,
469,115744,,,,,,,,
470,115777,,,,,,,,
471,115810,,,,,,,,
472,115843,,,,,,,,
473,115876,,,,,,,,
474,115909,,,,,,,,
475,115942,,,,,,,,
476,115975,,,,,,,,
477,116008,,,,,,,,
478,116041,,,,,,,,
479,116074,,,,,,,,
480,116107,,,,,,,,
481,116140,,,,,,,,
482,116173,,,,,,,,
483,116206,,,,,,,,
484,116239,,,,,,,,
485,116272,,,,,,,,
486,116305,,,,,,,,
487,116338,,,,,,,,
488,116371,,,,,,,,
489,116404,,,,,,,,
490,116437,,,,,,,,
491,116470,,,,,,,,
492,116503,,,,,,,,
493,116536,,,,,,,,
494,116569,,,,,,,,
495,116602,,,,,,,,
496,116635,,,,,,,,
497,116668,,,,,,,,
498,116701,,,,,,,,
499,116734,,,,,,,,
500,116767,,,,,,,,
501,116800,,,,,,,,
502,116833,,,,,,,,
503,116866,,,,,,,,
504,116899,,,,,,,,
505,116932,,,,,,,,
506,116965,,,,,,,,
507,116998,,,,,,,,
508,117031,,,,,,,,
509,117064,,,,,,,,
510,117097,,,,,,,,
511,117130,,,,,,,,
512,117163,,,,,,,,
513,117196,,,,,,,,
514,117229,,,,,,,,
515,117262,,,,,,,,
516,117295,,,,,,,,
517,117328,,,,,,,,
518,117361,,,,,,,,
519,117394,,,,,,,,
520,117427,,,,,,,,
521,117460,,,,,,,,
522,117493,,,,,,,,
523,117526,,,,,,,,
524,117559,,,,,,,,
525,117592,,,,,,,,
526,117625,,,,,,,,
527,117658,,,,,,,,
528,117691,,,,,,,,
529,117724,,,,,,,,
530,117757,,,,,,,,
531,117790,,,,,,,,
532,117823,,,,,,,,
533,117856,,,,,,,,
534,117889,,,,,,,,
535,117922,,,,,,,,
536,117955,,,,,,,,
537,117988,,,,,,,,
538,118021,,,,,,,,
539,118054,,,,,,,,
540,118087,,,,,,,,
541,118120,,,,,,,,
542,118153,,,,,,,,
543,118186,,,,,,,,
544,118219,,,,,,,,
545,118252,,,,,,,,
546,118285,,,,,,,,
547,118318,,,,,,,,
548,118351,,,,,,,,
549,118384,,,,,,,,
550,118417,,,,,,,,
551,118450,,,,,,,,
552,118483,,,,,2,118456,122944,27
553,118516,,,,,2,118456,122944,27
554,118549,,,,,2,118456,122944,27
555,118582,,,,,2,118456,122944,27
556,118615,,,,,2,118456,122944,27
557,118648,,,,,2,118456,122944,27
558,118681,127,118660,118693,r,2,118456,122944,27
559,118714,128,118694,118727,i,2,118456,122944,27
560,118747,129,118728,118761,i,2,118456,122944,27
561,118780,130,118762,118795,i,2,118456,122944,27
562,118813,131,118796,118829,r,2,118456,122944,27
563,118846,132,118830,118863,r,2,118456,122944,27
564,118879,133,118864,118897,r,2,118456,122944,27
565,118912,134,118898,118931,r,2,118456,122944,27
566,118945,135,118932,118965,r,2,118456,122944,27
567,118978,136,118966,118999,r,2,118456,122944,27
568,119011,137,119000,119033,r,2,118456,122944,27
569,119044,138,119034,119067,r,2,118456,122944,27
570,119077,139,119068,119101,r,2,118456,122944,27
571,119110,140,119102,119135,r,2,118456,122944,27
572,119143,141,119136,119169,r,2,118456,122944,27
573,119176,142,119170,119203,r,2,118456,122944,27
574,119209,143,119204,119237,r,2,118456,122944,27
575,119242,144,119238,119271,r,2,118456,122944,27
576,119275,145,119272,119305,r,2,118456,122944,27
577,119308,146,119306,119339,r,2,118456,122944,27
578,119341,147,119340,119373,r,2,118456,122944,27
579,119374,148,119374,119407,r,2,118456,122944,27
580,119407,148,119374,119407,r,2,118456,122944,27
581,119440,149,119408,119441,r,2,118456,122944,27
582,119473,150,119442,119475,r,2,118456,122944,27
583,119506,151,119476,119509,r,2,118456,122944,27
584,119539,152,119510,119543,r,2,118456,122944,27
585,119572,153,119544,119577,r,2,118456,122944,27
586,119605,154,119578,119611,r,2,118456,122944,27
587,119638,155,119612,119645,r,2,118456,122944,27
588,119671,156,119646,119679,r,2,118456,122944,27
589,119704,157,119680,119713,r,2,118456,122944,27
590,119737,158,119714,119747,r,2,118456,122944,27
591,119770,159,119748,119781,r,2,118456,122944,27
592,119803,160,119782,119815,r,2,118456,122944,27
593,119836,161,119816,119849,r,2,118456,122944,27
594,119869,162,119850,119883,r,2,118456,122944,27
595,119902,163,119884,119917,r,2,118456,122944,27
596,119935,164,119918,119951,r,2,118456,122944,27
597,119968,165,119952,119985,r,2,118456,122944,27
598,120001,166,119986,120019,r,2,118456,122944,27
599,120034,167,120020,120053,r,2,118456,122944,27
600,120067,168,120054,120087,r,2,118456,122944,27
601,120100,169,120088,120121,r,2,118456,122944,27
602,120133,170,120122,120155,r,2,118456,122944,27
603,120166,171,120156,120189,r,2,118456,122944,27
604,120199,172,120190,120223,r,2,118456,122944,27
605,120232,173,120224,120257,r,2,118456,122944,27
606,120265,174,120258,120291,r,2,118456,122944,27
607,120298,175,120292,120325,r,2,118456,122944,27
608,120331,176,120326,120359,l,2,118456,122944,27
609,120364,177,120360,120393,n,2,118456,122944,27
610,120397,178,120394,120427,n,2,118456,122944,27
611,120430,179,120428,120461,n,2,118456,122944,27
612,120463,180,120462,120495,n,2,118456,122944,27
