Gaze_position_during_number_pres.ordinal,Gaze_position_during_number_pres.onset,Gaze_position_during_number_pres.offset,Gaze_position_during_number_pres.l/m/r/i/n,
289,123882,123914,"n",
290,123915,123947,"l",
291,123948,123980,"l",
292,123981,124013,"l",
293,124014,124046,"l",
294,124047,124079,"l",
295,124080,124112,"l",
296,124113,124145,"l",
297,124146,124178,"l",
298,124179,124211,"l",
299,124212,124244,"l",
300,124245,124277,"l",
301,124278,124310,"l",
302,124311,124343,"l",
303,124344,124376,"l",
304,124377,124409,"l",
305,124410,124442,"l",
306,124443,124475,"l",
307,124476,124508,"l",
308,124509,124541,"l",
309,124542,124574,"l",
310,124575,124607,"l",
311,124608,124640,"l",
312,124641,124673,"l",
313,124674,124706,"l",
314,124707,124739,"l",
315,124740,124772,"l",
316,124773,124805,"l",
317,124806,124838,"l",
318,124839,124871,"l",
319,124872,124904,"l",
320,124905,124937,"l",
321,124938,124970,"l",
322,124971,125003,"l",
323,125004,125036,"l",
324,125037,125069,"l",
325,125070,125102,"l",
326,125103,125135,"l",
327,125136,125168,"l",
328,125169,125201,"l",
329,125202,125234,"l",
330,125235,125267,"l",
331,125268,125300,"l",
332,125301,125333,"l",
333,125334,125366,"l",
334,125367,125399,"l",
335,125400,125432,"l",
336,125433,125465,"l",
337,125466,125498,"l",
338,125499,125531,"l",
339,125532,125564,"l",
340,125565,125597,"l",
341,125598,125630,"i",
342,125631,125663,"i",
343,125664,125696,"i",
344,125697,125729,"m",
345,125730,125762,"m",
346,125763,125795,"l",
347,125796,125828,"l",
348,125829,125861,"l",
349,125862,125894,"l",
350,125895,125927,"l",
351,125928,125960,"l",
352,125961,125993,"l",
353,125994,126026,"l",
354,126027,126059,"l",
355,126060,126092,"l",
356,126093,126125,"l",
357,126126,126158,"l",
358,140976,141008,"l",
359,141009,141041,"l",
360,141042,141074,"l",
361,141075,141107,"l",
362,141108,141140,"l",
363,141141,141173,"l",
364,141174,141206,"l",
365,141207,141239,"l",
366,141240,141272,"l",
367,141273,141305,"l",
368,141306,141338,"l",
369,141339,141371,"l",
370,141372,141404,"l",
371,141405,141437,"l",
372,141438,141470,"l",
373,141471,141503,"l",
374,141504,141536,"l",
375,141537,141569,"l",
376,141570,141602,"l",
377,141603,141635,"l",
378,141636,141668,"l",
379,141669,141701,"l",
380,141702,141734,"l",
381,141735,141767,"l",
382,141768,141800,"l",
383,141801,141833,"l",
384,141834,141866,"l",
385,141867,141899,"l",
386,141900,141932,"l",
387,141933,141965,"l",
388,141966,141998,"l",
389,141999,142031,"l",
390,142032,142064,"l",
391,142065,142097,"n",
392,142098,142130,"n",
393,142131,142163,"n",
394,142164,142196,"n",
395,142197,142229,"n",
396,142230,142262,"n",
397,142263,142295,"l",
398,142296,142328,"l",
399,142329,142361,"l",
400,142362,142394,"l",
401,142395,142427,"l",
402,142428,142460,"l",
403,142461,142493,"l",
404,142494,142526,"l",
405,142527,142559,"l",
406,142560,142592,"l",
407,142593,142625,"l",
408,142626,142658,"l",
409,142659,142691,"l",
410,142692,142724,"l",
411,142725,142757,"l",
412,142758,142790,"l",
413,142791,142823,"l",
414,142824,142856,"l",
415,142857,142889,"l",
416,142890,142922,"l",
417,142923,142955,"l",
