framenum,time,Gaze_position_during_number_pres.ordinal,Gaze_position_during_number_pres.onset,Gaze_position_during_number_pres.offset,Gaze_position_during_number_pres.l/m/r/i/n,Trials.ordinal,Trials.onset,Trials.offset,Trials.number
241,93555,,,,,,,,
242,93588,,,,,,,,
243,93621,,,,,,,,
244,93654,,,,,,,,
245,93687,,,,,,,,
246,93720,,,,,,,,
247,93753,,,,,,,,
248,93786,,,,,,,,
249,93819,,,,,,,,
250,93852,,,,,,,,
251,93885,,,,,,,,
252,93918,,,,,,,,
253,93951,,,,,,,,
254,93984,,,,,,,,
255,94017,,,,,,,,
256,94050,,,,,,,,
257,94083,,,,,,,,
258,94116,,,,,,,,
259,94149,,,,,,,,
260,94182,,,,,,,,
261,94215,,,,,,,,
262,94248,,,,,,,,
263,94281,,,,,,,,
264,94314,,,,,,,,
265,94347,,,,,,,,
266,94380,,,,,,,,
267,94413,,,,,,,,
268,94446,,,,,,,,
269,94479,,,,,,,,
270,94512,,,,,,,,
271,94545,,,,,,,,
272,94578,,,,,,,,
273,94611,,,,,,,,
274,94644,,,,,,,,
275,94677,,,,,,,,
276,94710,,,,,,,,
277,94743,,,,,,,,
278,94776,,,,,,,,
279,94809,,,,,,,,
280,94842,,,,,,,,
281,94875,,,,,,,,
282,94908,,,,,,,,
283,94941,,,,,,,,
284,94974,,,,,,,,
285,95007,,,,,,,,
286,95040,,,,,,,,
287,95073,,,,,,,,
288,95106,,,,,,,,
289,95139,,,,,,,,
290,95172,,,,,,,,
291,95205,,,,,,,,
292,95238,,,,,,,,
293,95271,,,,,,,,
294,95304,,,,,,,,
295,95337,,,,,,,,
296,95370,,,,,,,,
297,95403,,,,,,,,
298,95436,,,,,,,,
299,95469,,,,,,,,
300,95502,,,,,,,,
301,95535,,,,,,,,
302,95568,,,,,,,,
303,95601,,,,,,,,
304,95634,,,,,,,,
305,95667,,,,,,,,
306,95700,,,,,,,,
307,95733,,,,,,,,
308,95766,,,,,,,,
309,95799,,,,,,,,
310,95832,,,,,,,,
311,95865,,,,,,,,
312,95898,,,,,,,,
313,95931,,,,,,,,
314,95964,,,,,,,,
315,95997,,,,,,,,
316,96030,,,,,,,,
317,96063,,,,,,,,
318,96096,,,,,,,,
319,96129,,,,,,,,
320,96162,,,,,,,,
321,96195,,,,,,,,
322,96228,,,,,,,,
323,96261,,,,,,,,
324,96294,,,,,,,,
325,96327,,,,,,,,
326,96360,,,,,,,,
327,96393,,,,,,,,
328,96426,,,,,,,,
329,96459,,,,,,,,
330,96492,,,,,,,,
331,96525,,,,,,,,
332,96558,,,,,,,,
333,96591,,,,,,,,
334,96624,,,,,,,,
335,96657,,,,,,,,
336,96690,,,,,,,,
337,96723,,,,,,,,
338,96756,,,,,,,,
339,96789,,,,,,,,
340,96822,,,,,,,,
341,96855,,,,,,,,
342,96888,,,,,,,,
343,96921,,,,,,,,
344,96954,,,,,,,,
345,96987,,,,,,,,
346,97020,,,,,,,,
347,97053,,,,,,,,
348,97086,,,,,,,,
349,97119,,,,,,,,
350,97152,,,,,,,,
351,97185,,,,,,,,
352,97218,,,,,,,,
353,97251,,,,,,,,
354,97284,,,,,,,,
355,97317,,,,,,,,
356,97350,,,,,,,,
357,97383,,,,,,,,
358,97416,,,,,,,,
359,97449,,,,,,,,
360,97482,,,,,,,,
361,97515,,,,,,,,
362,97548,,,,,,,,
363,97581,,,,,,,,
364,97614,,,,,,,,
365,97647,,,,,,,,
366,97680,,,,,,,,
367,97713,,,,,,,,
368,97746,,,,,,,,
369,97779,,,,,,,,
370,97812,,,,,,,,
371,97845,,,,,,,,
372,97878,,,,,,,,
373,97911,,,,,,,,
374,97944,,,,,,,,
375,97977,,,,,,,,
376,98010,,,,,,,,
377,98043,,,,,,,,
378,98076,,,,,,,,
379,98109,,,,,,,,
380,98142,,,,,,,,
381,98175,,,,,,,,
382,98208,,,,,,,,
383,98241,,,,,,,,
384,98274,,,,,,,,
385,98307,,,,,,,,
386,98340,,,,,,,,
387,98373,,,,,,,,
388,98406,,,,,,,,
389,98439,,,,,,,,
390,98472,,,,,,,,
391,98505,,,,,,,,
392,98538,,,,,,,,
393,98571,,,,,,,,
394,98604,,,,,,,,
395,98637,,,,,,,,
396,98670,,,,,,,,
397,98703,,,,,,,,
398,98736,,,,,,,,
399,98769,,,,,,,,
400,98802,,,,,,,,
401,98835,,,,,,,,
402,98868,,,,,,,,
403,98901,,,,,,,,
404,98934,,,,,,,,
405,98967,,,,,,,,
406,99000,,,,,,,,
407,99033,,,,,,,,
408,99066,,,,,,,,
409,99099,,,,,,,,
410,99132,,,,,,,,
411,99165,,,,,,,,
412,99198,,,,,,,,
413,99231,,,,,,,,
414,99264,,,,,,,,
415,99297,,,,,,,,
416,99330,,,,,,,,
417,99363,,,,,,,,
418,99396,,,,,,,,
419,99429,,,,,,,,
420,99462,,,,,,,,
421,99495,,,,,,,,
422,99528,,,,,,,,
423,99561,,,,,,,,
424,99594,,,,,,,,
425,99627,,,,,,,,
426,99660,,,,,,,,
427,99693,,,,,,,,
428,99726,,,,,,,,
429,99759,,,,,,,,
430,99792,,,,,,,,
431,99825,,,,,,,,
432,99858,,,,,,,,
433,99891,,,,,,,,
434,99924,,,,,,,,
435,99957,,,,,,,,
436,99990,,,,,,,,
437,100023,,,,,,,,
438,100056,,,,,,,,
439,100089,,,,,,,,
440,100122,,,,,,,,
441,100155,,,,,,,,
442,100188,,,,,,,,
443,100221,,,,,,,,
444,100254,,,,,,,,
445,100287,,,,,,,,
446,100320,,,,,,,,
447,100353,,,,,,,,
448,100386,,,,,,,,
449,100419,,,,,,,,
450,100452,,,,,,,,
451,100485,,,,,,,,
452,100518,,,,,,,,
453,100551,,,,,,,,
454,100584,,,,,,,,
455,100617,,,,,,,,
456,100650,,,,,,,,
457,100683,,,,,,,,
458,100716,,,,,,,,
459,100749,,,,,,,,
460,100782,,,,,,,,
461,100815,,,,,,,,
462,100848,,,,,,,,
463,100881,,,,,,,,
464,100914,,,,,,,,
465,100947,,,,,,,,
466,100980,,,,,,,,
467,101013,,,,,,,,
468,101046,,,,,,,,
469,101079,,,,,,,,
470,101112,,,,,,,,
471,101145,,,,,,,,
472,101178,,,,,,,,
473,101211,,,,,,,,
474,101244,,,,,,,,
475,101277,,,,,,,,
476,101310,,,,,,,,
477,101343,,,,,,,,
478,101376,,,,,,,,
479,101409,,,,,,,,
480,101442,,,,,,,,
481,101475,,,,,,,,
482,101508,,,,,,,,
483,101541,,,,,,,,
484,101574,,,,,,,,
485,101607,,,,,,,,
486,101640,,,,,,,,
487,101673,,,,,,,,
488,101706,,,,,,,,
489,101739,,,,,,,,
490,101772,,,,,,,,
491,101805,,,,,,,,
492,101838,,,,,,,,
493,101871,,,,,,,,
494,101904,,,,,,,,
495,101937,,,,,,,,
496,101970,,,,,,,,
497,102003,,,,,,,,
498,102036,,,,,,,,
499,102069,,,,,,,,
500,102102,,,,,,,,
501,102135,,,,,,,,
502,102168,,,,,,,,
503,102201,,,,,,,,
504,102234,,,,,,,,
505,102267,,,,,,,,
506,102300,,,,,,,,
507,102333,,,,,,,,
508,102366,,,,,,,,
509,102399,,,,,,,,
510,102432,,,,,,,,
511,102465,,,,,,,,
512,102498,,,,,,,,
513,102531,,,,,,,,
514,102564,,,,,,,,
515,102597,,,,,,,,
516,102630,,,,,,,,
517,102663,,,,,,,,
518,102696,,,,,,,,
519,102729,,,,,,,,
520,102762,,,,,,,,
521,102795,,,,,,,,
522,102828,,,,,,,,
523,102861,,,,,,,,
524,102894,,,,,,,,
525,102927,,,,,,,,
526,102960,,,,,,,,
527,102993,,,,,,,,
528,103026,,,,,,,,
529,103059,,,,,,,,
530,103092,,,,,,,,
531,103125,,,,,,,,
532,103158,,,,,,,,
533,103191,,,,,,,,
534,103224,,,,,,,,
535,103257,,,,,,,,
536,103290,,,,,,,,
537,103323,,,,,,,,
538,103356,,,,,,,,
539,103389,,,,,,,,
540,103422,,,,,,,,
541,103455,,,,,,,,
542,103488,,,,,,,,
543,103521,,,,,,,,
544,103554,,,,,,,,
545,103587,,,,,,,,
546,103620,,,,,,,,
547,103653,,,,,,,,
548,103686,,,,,,,,
549,103719,,,,,,,,
550,103752,,,,,,,,
551,103785,,,,,,,,
552,103818,,,,,,,,
553,103851,,,,,,,,
554,103884,,,,,,,,
555,103917,,,,,,,,
556,103950,,,,,,,,
557,103983,,,,,,,,
558,104016,,,,,,,,
559,104049,,,,,,,,
560,104082,,,,,,,,
561,104115,,,,,,,,
562,104148,,,,,,,,
563,104181,,,,,2,104181,108702,84
564,104214,,,,,2,104181,108702,84
565,104247,,,,,2,104181,108702,84
566,104280,,,,,2,104181,108702,84
567,104313,,,,,2,104181,108702,84
568,104346,,,,,2,104181,108702,84
569,104379,,,,,2,104181,108702,84
570,104412,,,,,2,104181,108702,84
571,104445,,,,,2,104181,108702,84
572,104478,,,,,2,104181,108702,84
573,104511,,,,,2,104181,108702,84
574,104544,,,,,2,104181,108702,84
575,104577,,,,,2,104181,108702,84
576,104610,,,,,2,104181,108702,84
577,104643,,,,,2,104181,108702,84
578,104676,,,,,2,104181,108702,84
579,104709,,,,,2,104181,108702,84
580,104742,,,,,2,104181,108702,84
581,104775,,,,,2,104181,108702,84
582,104808,,,,,2,104181,108702,84
583,104841,,,,,2,104181,108702,84
584,104874,,,,,2,104181,108702,84
585,104907,,,,,2,104181,108702,84
586,104940,,,,,2,104181,108702,84
587,104973,,,,,2,104181,108702,84
588,105006,,,,,2,104181,108702,84
589,105039,,,,,2,104181,108702,84
590,105072,,,,,2,104181,108702,84
591,105105,,,,,2,104181,108702,84
592,105138,,,,,2,104181,108702,84
593,105171,,,,,2,104181,108702,84
594,105204,,,,,2,104181,108702,84
595,105237,,,,,2,104181,108702,84
596,105270,,,,,2,104181,108702,84
597,105303,,,,,2,104181,108702,84
598,105336,,,,,2,104181,108702,84
599,105369,,,,,2,104181,108702,84
600,105402,,,,,2,104181,108702,84
601,105435,,,,,2,104181,108702,84
602,105468,,,,,2,104181,108702,84
603,105501,,,,,2,104181,108702,84
604,105534,,,,,2,104181,108702,84
605,105567,132,105567,105599,r,2,104181,108702,84
606,105600,133,105600,105632,l,2,104181,108702,84
607,105633,134,105633,105665,l,2,104181,108702,84
608,105666,135,105666,105698,l,2,104181,108702,84
609,105699,136,105699,105731,l,2,104181,108702,84
610,105732,137,105732,105764,l,2,104181,108702,84
611,105765,138,105765,105797,l,2,104181,108702,84
612,105798,139,105798,105830,l,2,104181,108702,84
613,105831,140,105831,105863,l,2,104181,108702,84
614,105864,141,105864,105896,l,2,104181,108702,84
615,105897,142,105897,105929,l,2,104181,108702,84
616,105930,143,105930,105962,l,2,104181,108702,84
617,105963,144,105963,105995,l,2,104181,108702,84
618,105996,145,105996,106028,l,2,104181,108702,84
619,106029,146,106029,106061,l,2,104181,108702,84
620,106062,147,106062,106094,l,2,104181,108702,84
621,106095,148,106095,106127,l,2,104181,108702,84
622,106128,149,106128,106160,l,2,104181,108702,84
623,106161,150,106161,106193,l,2,104181,108702,84
624,106194,151,106194,106226,l,2,104181,108702,84
625,106227,152,106227,106259,l,2,104181,108702,84
626,106260,153,106260,106292,l,2,104181,108702,84
627,106293,154,106293,106325,l,2,104181,108702,84
628,106326,155,106326,106358,l,2,104181,108702,84
629,106359,156,106359,106391,l,2,104181,108702,84
630,106392,157,106392,106424,l,2,104181,108702,84
631,106425,158,106425,106457,l,2,104181,108702,84
632,106458,159,106458,106490,l,2,104181,108702,84
633,106491,160,106491,106523,l,2,104181,108702,84
634,106524,161,106524,106556,l,2,104181,108702,84
635,106557,162,106557,106589,l,2,104181,108702,84
636,106590,163,106590,106622,l,2,104181,108702,84
637,106623,164,106623,106655,l,2,104181,108702,84
638,106656,165,106656,106688,l,2,104181,108702,84
639,106689,166,106689,106721,l,2,104181,108702,84
640,106722,167,106722,106754,l,2,104181,108702,84
641,106755,168,106755,106787,l,2,104181,108702,84
642,106788,169,106788,106820,l,2,104181,108702,84
643,106821,170,106821,106853,l,2,104181,108702,84
644,106854,171,106854,106886,l,2,104181,108702,84
645,106887,172,106887,106919,l,2,104181,108702,84
646,106920,173,106920,106952,l,2,104181,108702,84
647,106953,174,106953,106985,l,2,104181,108702,84
648,106986,175,106986,107018,l,2,104181,108702,84
649,107019,176,107019,107051,l,2,104181,108702,84
650,107052,177,107052,107084,l,2,104181,108702,84
651,107085,178,107085,107117,l,2,104181,108702,84
652,107118,179,107118,107150,l,2,104181,108702,84
653,107151,180,107151,107183,l,2,104181,108702,84
654,107184,181,107184,107216,l,2,104181,108702,84
655,107217,182,107217,107249,l,2,104181,108702,84
656,107250,183,107250,107282,l,2,104181,108702,84
657,107283,184,107283,107315,l,2,104181,108702,84
658,107316,185,107316,107348,l,2,104181,108702,84
659,107349,186,107349,107381,l,2,104181,108702,84
660,107382,187,107382,107414,l,2,104181,108702,84
661,107415,188,107415,107447,l,2,104181,108702,84
662,107448,189,107448,107480,l,2,104181,108702,84
663,107481,190,107481,107513,l,2,104181,108702,84
664,107514,191,107514,107546,l,2,104181,108702,84
665,107547,192,107547,107579,l,2,104181,108702,84
666,107580,193,107580,107612,l,2,104181,108702,84
667,107613,194,107613,107645,l,2,104181,108702,84
668,107646,195,107646,107678,l,2,104181,108702,84
669,107679,196,107679,107711,l,2,104181,108702,84
670,107712,197,107712,107744,l,2,104181,108702,84
671,107745,198,107745,107777,l,2,104181,108702,84
672,107778,199,107778,107810,l,2,104181,108702,84
673,107811,200,107811,107843,l,2,104181,108702,84
674,107844,201,107844,107876,l,2,104181,108702,84
675,107877,202,107877,107909,l,2,104181,108702,84
676,107910,203,107910,107942,l,2,104181,108702,84
677,107943,204,107943,107975,l,2,104181,108702,84
678,107976,205,107976,108008,l,2,104181,108702,84
679,108009,206,108009,108041,l,2,104181,108702,84
680,108042,207,108042,108074,l,2,104181,108702,84
681,108075,208,108075,108107,l,2,104181,108702,84
682,108108,209,108108,108140,l,2,104181,108702,84
683,108141,210,108141,108173,l,2,104181,108702,84
684,108174,211,108174,108206,l,2,104181,108702,84
685,108207,212,108207,108239,l,2,104181,108702,84
686,108240,213,108240,108272,l,2,104181,108702,84
687,108273,214,108273,108305,l,2,104181,108702,84
688,108306,215,108306,108338,l,2,104181,108702,84
689,108339,216,108339,108371,l,2,104181,108702,84
690,108372,217,108372,108404,l,2,104181,108702,84
691,108405,218,108405,108437,l,2,104181,108702,84
692,108438,219,108438,108470,l,2,104181,108702,84
693,108471,220,108471,108503,l,2,104181,108702,84
694,108504,221,108504,108536,l,2,104181,108702,84
695,108537,222,108537,108569,l,2,104181,108702,84
696,108570,223,108570,108602,l,2,104181,108702,84
697,108603,224,108603,108635,l,2,104181,108702,84
698,108636,225,108636,108668,l,2,104181,108702,84
699,108669,,,,,2,104181,108702,84
700,108702,,,,,2,104181,108702,84
701,108735,,,,,,,,
702,108768,,,,,,,,
703,108801,,,,,,,,
704,108834,,,,,,,,
705,108867,,,,,,,,
706,108900,,,,,,,,
707,108933,,,,,,,,
708,108966,,,,,,,,
709,108999,,,,,,,,
710,109032,,,,,,,,
711,109065,,,,,,,,
712,109098,,,,,,,,
713,109131,,,,,,,,
714,109164,,,,,,,,
715,109197,,,,,,,,
716,109230,,,,,,,,
717,109263,,,,,,,,
718,109296,,,,,,,,
719,109329,,,,,,,,
720,109362,,,,,,,,
721,109395,,,,,,,,
722,109428,,,,,,,,
723,109461,,,,,,,,
724,109494,,,,,,,,
725,109527,,,,,,,,
726,109560,,,,,,,,
727,109593,,,,,,,,
728,109626,,,,,,,,
729,109659,,,,,,,,
730,109692,,,,,,,,
731,109725,,,,,,,,
732,109758,,,,,,,,
733,109791,,,,,,,,
734,109824,,,,,,,,
735,109857,,,,,,,,
736,109890,,,,,,,,
737,109923,,,,,,,,
738,109956,,,,,,,,
739,109989,,,,,,,,
740,110022,,,,,,,,
741,110055,,,,,,,,
742,110088,,,,,,,,
743,110121,,,,,,,,
744,110154,,,,,,,,
745,110187,,,,,,,,
746,110220,,,,,,,,
747,110253,,,,,,,,
748,110286,,,,,,,,
749,110319,,,,,,,,
750,110352,,,,,,,,
751,110385,,,,,,,,
752,110418,,,,,,,,
753,110451,,,,,,,,
754,110484,,,,,,,,
755,110517,,,,,,,,
756,110550,,,,,,,,
757,110583,,,,,,,,
758,110616,,,,,,,,
759,110649,,,,,,,,
760,110682,,,,,,,,
761,110715,,,,,,,,
762,110748,,,,,,,,
763,110781,,,,,,,,
764,110814,,,,,,,,
765,110847,,,,,,,,
766,110880,,,,,,,,
767,110913,,,,,,,,
768,110946,,,,,,,,
769,110979,,,,,,,,
770,111012,,,,,,,,
771,111045,,,,,,,,
772,111078,,,,,,,,
773,111111,,,,,,,,
774,111144,,,,,,,,
775,111177,,,,,,,,
776,111210,,,,,,,,
777,111243,,,,,,,,
778,111276,,,,,,,,
779,111309,,,,,,,,
780,111342,,,,,,,,
781,111375,,,,,,,,
782,111408,,,,,,,,
783,111441,,,,,,,,
784,111474,,,,,,,,
785,111507,,,,,,,,
786,111540,,,,,,,,
787,111573,,,,,,,,
788,111606,,,,,,,,
789,111639,,,,,,,,
790,111672,,,,,,,,
791,111705,,,,,,,,
792,111738,,,,,,,,
793,111771,,,,,,,,
794,111804,,,,,,,,
795,111837,,,,,,,,
796,111870,,,,,,,,
797,111903,,,,,,,,
798,111936,,,,,,,,
799,111969,,,,,,,,
800,112002,,,,,,,,
801,112035,,,,,,,,
802,112068,,,,,,,,
803,112101,,,,,,,,
804,112134,,,,,,,,
805,112167,,,,,,,,
806,112200,,,,,,,,
807,112233,,,,,,,,
808,112266,,,,,,,,
809,112299,,,,,,,,
810,112332,,,,,,,,
811,112365,,,,,,,,
812,112398,,,,,,,,
813,112431,,,,,,,,
814,112464,,,,,,,,
815,112497,,,,,,,,
816,112530,,,,,,,,
817,112563,,,,,,,,
818,112596,,,,,,,,
