frameNumber,time,gazeOnsetTime,gazeOffsetTime,AOI_lable,trialNumber,trialOnset,trialOffset,targetNumber
1124,122694,122694,122726,l,3,121638,126159,745
1125,122727,122727,122759,l,3,121638,126159,745
1126,122760,122760,122792,l,3,121638,126159,745
1127,122793,122793,122825,l,3,121638,126159,745
1128,122826,122826,122858,l,3,121638,126159,745
1129,122859,122859,122891,l,3,121638,126159,745
1130,122892,122892,122924,n,3,121638,126159,745
1131,122925,122925,122957,n,3,121638,126159,745
1132,122958,122958,122990,n,3,121638,126159,745
1133,122991,122991,123023,n,3,121638,126159,745
1134,123024,123024,123056,n,3,121638,126159,745
1135,123057,123057,123089,n,3,121638,126159,745
1136,123090,123090,123122,n,3,121638,126159,745
1137,123123,123123,123155,n,3,121638,126159,745
1138,123156,123156,123188,n,3,121638,126159,745
1139,123189,123189,123221,n,3,121638,126159,745
1140,123222,123222,123254,n,3,121638,126159,745
1141,123255,123255,123287,n,3,121638,126159,745
1142,123288,123288,123320,n,3,121638,126159,745
1143,123321,123321,123353,n,3,121638,126159,745
1144,123354,123354,123386,n,3,121638,126159,745
1145,123387,123387,123419,n,3,121638,126159,745
1146,123420,123420,123452,n,3,121638,126159,745
1147,123453,123453,123485,n,3,121638,126159,745
1148,123486,123486,123518,n,3,121638,126159,745
1149,123519,123519,123551,n,3,121638,126159,745
1150,123552,123552,123584,n,3,121638,126159,745
1151,123585,123585,123617,n,3,121638,126159,745
1152,123618,123618,123650,n,3,121638,126159,745
1153,123651,123651,123683,n,3,121638,126159,745
1154,123684,123684,123716,n,3,121638,126159,745
1155,123717,123717,123749,n,3,121638,126159,745
1156,123750,123750,123782,n,3,121638,126159,745
1157,123783,123783,123815,n,3,121638,126159,745
1158,123816,123816,123848,n,3,121638,126159,745
1159,123849,123849,123881,n,3,121638,126159,745
1160,123882,123882,123914,n,3,121638,126159,745
1161,123915,123915,123947,l,3,121638,126159,745
1162,123948,123948,123980,l,3,121638,126159,745
1163,123981,123981,124013,l,3,121638,126159,745
1164,124014,124014,124046,l,3,121638,126159,745
1165,124047,124047,124079,l,3,121638,126159,745
1166,124080,124080,124112,l,3,121638,126159,745
1167,124113,124113,124145,l,3,121638,126159,745
1168,124146,124146,124178,l,3,121638,126159,745
1169,124179,124179,124211,l,3,121638,126159,745
1170,124212,124212,124244,l,3,121638,126159,745
1171,124245,124245,124277,l,3,121638,126159,745
1172,124278,124278,124310,l,3,121638,126159,745
1173,124311,124311,124343,l,3,121638,126159,745
1174,124344,124344,124376,l,3,121638,126159,745
1175,124377,124377,124409,l,3,121638,126159,745
1176,124410,124410,124442,l,3,121638,126159,745
1177,124443,124443,124475,l,3,121638,126159,745
1178,124476,124476,124508,l,3,121638,126159,745
1179,124509,124509,124541,l,3,121638,126159,745
1180,124542,124542,124574,l,3,121638,126159,745
1181,124575,124575,124607,l,3,121638,126159,745
1182,124608,124608,124640,l,3,121638,126159,745
1183,124641,124641,124673,l,3,121638,126159,745
1184,124674,124674,124706,l,3,121638,126159,745
1185,124707,124707,124739,l,3,121638,126159,745
1186,124740,124740,124772,l,3,121638,126159,745
1187,124773,124773,124805,l,3,121638,126159,745
1188,124806,124806,124838,l,3,121638,126159,745
1189,124839,124839,124871,l,3,121638,126159,745
1190,124872,124872,124904,l,3,121638,126159,745
1191,124905,124905,124937,l,3,121638,126159,745
1192,124938,124938,124970,l,3,121638,126159,745
1193,124971,124971,125003,l,3,121638,126159,745
1194,125004,125004,125036,l,3,121638,126159,745
1195,125037,125037,125069,l,3,121638,126159,745
1196,125070,125070,125102,l,3,121638,126159,745
1197,125103,125103,125135,l,3,121638,126159,745
1198,125136,125136,125168,l,3,121638,126159,745
1199,125169,125169,125201,l,3,121638,126159,745
1200,125202,125202,125234,l,3,121638,126159,745
1201,125235,125235,125267,l,3,121638,126159,745
1202,125268,125268,125300,l,3,121638,126159,745
1203,125301,125301,125333,l,3,121638,126159,745
1204,125334,125334,125366,l,3,121638,126159,745
1205,125367,125367,125399,l,3,121638,126159,745
1206,125400,125400,125432,l,3,121638,126159,745
1207,125433,125433,125465,l,3,121638,126159,745
1208,125466,125466,125498,l,3,121638,126159,745
1209,125499,125499,125531,l,3,121638,126159,745
1210,125532,125532,125564,l,3,121638,126159,745
1211,125565,125565,125597,l,3,121638,126159,745
1212,125598,125598,125630,i,3,121638,126159,745
1213,125631,125631,125663,i,3,121638,126159,745
1214,125664,125664,125696,i,3,121638,126159,745
1215,125697,125697,125729,m,3,121638,126159,745
1216,125730,125730,125762,m,3,121638,126159,745
1217,125763,125763,125795,l,3,121638,126159,745
1218,125796,125796,125828,l,3,121638,126159,745
1219,125829,125829,125861,l,3,121638,126159,745
1220,125862,125862,125894,l,3,121638,126159,745
1221,125895,125895,125927,l,3,121638,126159,745
1222,125928,125928,125960,l,3,121638,126159,745
1223,125961,125961,125993,l,3,121638,126159,745
1224,125994,125994,126026,l,3,121638,126159,745
1225,126027,126027,126059,l,3,121638,126159,745
1226,126060,126060,126092,l,3,121638,126159,745
1227,126093,126093,126125,l,3,121638,126159,745
1228,126126,126126,126158,l,3,121638,126159,745
1678,140976,140976,141008,l,4,140811,145365,24
1679,141009,141009,141041,l,4,140811,145365,24
1680,141042,141042,141074,l,4,140811,145365,24
1681,141075,141075,141107,l,4,140811,145365,24
1682,141108,141108,141140,l,4,140811,145365,24
1683,141141,141141,141173,l,4,140811,145365,24
1684,141174,141174,141206,l,4,140811,145365,24
1685,141207,141207,141239,l,4,140811,145365,24
1686,141240,141240,141272,l,4,140811,145365,24
1687,141273,141273,141305,l,4,140811,145365,24
1688,141306,141306,141338,l,4,140811,145365,24
1689,141339,141339,141371,l,4,140811,145365,24
1690,141372,141372,141404,l,4,140811,145365,24
1691,141405,141405,141437,l,4,140811,145365,24
1692,141438,141438,141470,l,4,140811,145365,24
1693,141471,141471,141503,l,4,140811,145365,24
1694,141504,141504,141536,l,4,140811,145365,24
1695,141537,141537,141569,l,4,140811,145365,24
1696,141570,141570,141602,l,4,140811,145365,24
1697,141603,141603,141635,l,4,140811,145365,24
1698,141636,141636,141668,l,4,140811,145365,24
1699,141669,141669,141701,l,4,140811,145365,24
1700,141702,141702,141734,l,4,140811,145365,24
1701,141735,141735,141767,l,4,140811,145365,24
1702,141768,141768,141800,l,4,140811,145365,24
1703,141801,141801,141833,l,4,140811,145365,24
1704,141834,141834,141866,l,4,140811,145365,24
1705,141867,141867,141899,l,4,140811,145365,24
1706,141900,141900,141932,l,4,140811,145365,24
1707,141933,141933,141965,l,4,140811,145365,24
1708,141966,141966,141998,l,4,140811,145365,24
1709,141999,141999,142031,l,4,140811,145365,24
1710,142032,142032,142064,l,4,140811,145365,24
1711,142065,142065,142097,n,4,140811,145365,24
1712,142098,142098,142130,n,4,140811,145365,24
1713,142131,142131,142163,n,4,140811,145365,24
1714,142164,142164,142196,n,4,140811,145365,24
1715,142197,142197,142229,n,4,140811,145365,24
1716,142230,142230,142262,n,4,140811,145365,24
1717,142263,142263,142295,l,4,140811,145365,24
1718,142296,142296,142328,l,4,140811,145365,24
1719,142329,142329,142361,l,4,140811,145365,24
1720,142362,142362,142394,l,4,140811,145365,24
1721,142395,142395,142427,l,4,140811,145365,24
1722,142428,142428,142460,l,4,140811,145365,24
1723,142461,142461,142493,l,4,140811,145365,24
1724,142494,142494,142526,l,4,140811,145365,24
1725,142527,142527,142559,l,4,140811,145365,24
1726,142560,142560,142592,l,4,140811,145365,24
1727,142593,142593,142625,l,4,140811,145365,24
1728,142626,142626,142658,l,4,140811,145365,24
1729,142659,142659,142691,l,4,140811,145365,24
1730,142692,142692,142724,l,4,140811,145365,24
1731,142725,142725,142757,l,4,140811,145365,24
1732,142758,142758,142790,l,4,140811,145365,24
1733,142791,142791,142823,l,4,140811,145365,24
1734,142824,142824,142856,l,4,140811,145365,24
1735,142857,142857,142889,l,4,140811,145365,24
1736,142890,142890,142922,l,4,140811,145365,24
1737,142923,142923,142955,l,4,140811,145365,24
1738,142956,142956,142988,l,4,140811,145365,24
1739,142989,142989,143021,l,4,140811,145365,24
1740,143022,143022,143054,i,4,140811,145365,24
1741,143055,143055,143087,i,4,140811,145365,24
1742,143088,143088,143120,i,4,140811,145365,24
1743,143121,143121,143153,i,4,140811,145365,24
1744,143154,143154,143186,i,4,140811,145365,24
1745,143187,143187,143219,i,4,140811,145365,24
1746,143220,143220,143252,l,4,140811,145365,24
1747,143253,143253,143285,l,4,140811,145365,24
1748,143286,143286,143318,l,4,140811,145365,24
1749,143319,143319,143351,l,4,140811,145365,24
1750,143352,143352,143384,l,4,140811,145365,24
1751,143385,143385,143417,l,4,140811,145365,24
1752,143418,143418,143450,l,4,140811,145365,24
1753,143451,143451,143483,l,4,140811,145365,24
1754,143484,143484,143516,l,4,140811,145365,24
1755,143517,143517,143549,l,4,140811,145365,24
1756,143550,143550,143582,l,4,140811,145365,24
1757,143583,143583,143615,l,4,140811,145365,24
1758,143616,143616,143648,l,4,140811,145365,24
1759,143649,143649,143681,l,4,140811,145365,24
1760,143682,143682,143714,l,4,140811,145365,24
1761,143715,143715,143747,l,4,140811,145365,24
1762,143748,143748,143780,l,4,140811,145365,24
1763,143781,143781,143813,l,4,140811,145365,24
1764,143814,143814,143846,l,4,140811,145365,24
1765,143847,143847,143879,l,4,140811,145365,24
1766,143880,143880,143912,l,4,140811,145365,24
1767,143913,143913,143945,l,4,140811,145365,24
1768,143946,143946,143978,l,4,140811,145365,24
1769,143979,143979,144011,l,4,140811,145365,24
1770,144012,144012,144044,l,4,140811,145365,24
1771,144045,144045,144077,l,4,140811,145365,24
1772,144078,144078,144110,l,4,140811,145365,24
1773,144111,144111,144143,l,4,140811,145365,24
1774,144144,144144,144176,l,4,140811,145365,24
1775,144177,144177,144209,l,4,140811,145365,24
1776,144210,144210,144242,l,4,140811,145365,24
1777,144243,144243,144275,l,4,140811,145365,24
1778,144276,144276,144308,l,4,140811,145365,24
1779,144309,144309,144341,l,4,140811,145365,24
1780,144342,144342,144374,l,4,140811,145365,24
1781,144375,144375,144407,l,4,140811,145365,24
1782,144408,144408,144440,l,4,140811,145365,24
1783,144441,144441,144473,l,4,140811,145365,24
1784,144474,144474,144506,l,4,140811,145365,24
1785,144507,144507,144539,l,4,140811,145365,24
1786,144540,144540,144572,l,4,140811,145365,24
1787,144573,144573,144605,l,4,140811,145365,24
1788,144606,144606,144638,l,4,140811,145365,24
1789,144639,144639,144671,l,4,140811,145365,24
1790,144672,144672,144704,l,4,140811,145365,24
1791,144705,144705,144737,l,4,140811,145365,24
1792,144738,144738,144770,l,4,140811,145365,24
1793,144771,144771,144803,l,4,140811,145365,24
1794,144804,144804,144836,l,4,140811,145365,24
1795,144837,144837,144869,l,4,140811,145365,24
1796,144870,144870,144902,l,4,140811,145365,24
1797,144903,144903,144935,l,4,140811,145365,24
1798,144936,144936,144968,l,4,140811,145365,24
1799,144969,144969,145001,l,4,140811,145365,24
1800,145002,145002,145034,l,4,140811,145365,24
1801,145035,145035,145067,l,4,140811,145365,24
1802,145068,145068,145100,l,4,140811,145365,24
1803,145101,145101,145133,l,4,140811,145365,24
1804,145134,145134,145166,l,4,140811,145365,24
1805,145167,145167,145199,l,4,140811,145365,24
1806,145200,145200,145232,l,4,140811,145365,24
1807,145233,145233,145265,l,4,140811,145365,24
1808,145266,145266,145298,l,4,140811,145365,24
1809,145299,145299,145331,l,4,140811,145365,24
2203,158301,158301,158333,l,5,158070,162657,629
2204,158334,158334,158366,l,5,158070,162657,629
2205,158367,158367,158399,l,5,158070,162657,629
2206,158400,158400,158432,l,5,158070,162657,629
2207,158433,158433,158465,l,5,158070,162657,629
2208,158466,158466,158498,l,5,158070,162657,629
2209,158499,158499,158531,l,5,158070,162657,629
2210,158532,158532,158564,l,5,158070,162657,629
2211,158565,158565,158597,l,5,158070,162657,629
2212,158598,158598,158630,l,5,158070,162657,629
2213,158631,158631,158663,l,5,158070,162657,629
2214,158664,158664,158696,m,5,158070,162657,629
2215,158697,158697,158729,m,5,158070,162657,629
2216,158730,158730,158762,m,5,158070,162657,629
2217,158763,158763,158795,m,5,158070,162657,629
2218,158796,158796,158828,m,5,158070,162657,629
2219,158829,158829,158861,m,5,158070,162657,629
2220,158862,158862,158894,m,5,158070,162657,629
2221,158895,158895,158927,m,5,158070,162657,629
2222,158928,158928,158960,l,5,158070,162657,629
2223,158961,158961,158993,l,5,158070,162657,629
2224,158994,158994,159026,l,5,158070,162657,629
2225,159027,159027,159059,l,5,158070,162657,629
2226,159060,159060,159092,l,5,158070,162657,629
2227,159093,159093,159125,l,5,158070,162657,629
2228,159126,159126,159158,l,5,158070,162657,629
2229,159159,159159,159191,l,5,158070,162657,629
2230,159192,159192,159224,l,5,158070,162657,629
2231,159225,159225,159257,l,5,158070,162657,629
2232,159258,159258,159290,l,5,158070,162657,629
2233,159291,159291,159323,l,5,158070,162657,629
2234,159324,159324,159356,l,5,158070,162657,629
2235,159357,159357,159389,l,5,158070,162657,629
2236,159390,159390,159422,l,5,158070,162657,629
2237,159423,159423,159455,l,5,158070,162657,629
2238,159456,159456,159488,l,5,158070,162657,629
2239,159489,159489,159521,l,5,158070,162657,629
2240,159522,159522,159554,l,5,158070,162657,629
2241,159555,159555,159587,l,5,158070,162657,629
2242,159588,159588,159620,l,5,158070,162657,629
2243,159621,159621,159653,l,5,158070,162657,629
2244,159654,159654,159686,l,5,158070,162657,629
2245,159687,159687,159719,l,5,158070,162657,629
2246,159720,159720,159752,l,5,158070,162657,629
2247,159753,159753,159785,m,5,158070,162657,629
2248,159786,159786,159851,m,5,158070,162657,629
2249,159819,159786,159851,m,5,158070,162657,629
2250,159852,159852,159884,m,5,158070,162657,629
2251,159885,159885,159917,m,5,158070,162657,629
2252,159918,159918,159950,m,5,158070,162657,629
2253,159951,159951,159983,m,5,158070,162657,629
2254,159984,159984,160016,m,5,158070,162657,629
2255,160017,160017,160049,m,5,158070,162657,629
2256,160050,160050,160082,m,5,158070,162657,629
2257,160083,160083,160115,m,5,158070,162657,629
2258,160116,160116,160148,i,5,158070,162657,629
2259,160149,160149,160181,l,5,158070,162657,629
2260,160182,160182,160214,l,5,158070,162657,629
2261,160215,160215,160247,l,5,158070,162657,629
2262,160248,160248,160280,l,5,158070,162657,629
2263,160281,160281,160313,l,5,158070,162657,629
2264,160314,160314,160346,l,5,158070,162657,629
2265,160347,160347,160379,l,5,158070,162657,629
2266,160380,160380,160412,l,5,158070,162657,629
2267,160413,160413,160445,l,5,158070,162657,629
2268,160446,160446,160478,l,5,158070,162657,629
2269,160479,160479,160511,l,5,158070,162657,629
2270,160512,160512,160544,l,5,158070,162657,629
2271,160545,160545,160577,l,5,158070,162657,629
2272,160578,160578,160610,l,5,158070,162657,629
2273,160611,160611,160643,l,5,158070,162657,629
2274,160644,160644,160676,l,5,158070,162657,629
2275,160677,160677,160709,l,5,158070,162657,629
2276,160710,160710,160742,l,5,158070,162657,629
2277,160743,160743,160775,l,5,158070,162657,629
2278,160776,160776,160808,l,5,158070,162657,629
2279,160809,160809,160841,i,5,158070,162657,629
2280,160842,160842,160874,m,5,158070,162657,629
2281,160875,160875,160907,m,5,158070,162657,629
2282,160908,160908,160940,m,5,158070,162657,629
2283,160941,160941,160973,m,5,158070,162657,629
2284,160974,160974,161006,m,5,158070,162657,629
2285,161007,161007,161039,m,5,158070,162657,629
2286,161040,161040,161072,m,5,158070,162657,629
2287,161073,161073,161105,l,5,158070,162657,629
2288,161106,161106,161138,l,5,158070,162657,629
2289,161139,161139,161171,l,5,158070,162657,629
2290,161172,161172,161204,l,5,158070,162657,629
2291,161205,161205,161237,l,5,158070,162657,629
2292,161238,161238,161270,l,5,158070,162657,629
2293,161271,161271,161303,l,5,158070,162657,629
2294,161304,161304,161336,l,5,158070,162657,629
2295,161337,161337,161369,l,5,158070,162657,629
2296,161370,161370,161402,l,5,158070,162657,629
2297,161403,161403,161435,l,5,158070,162657,629
2298,161436,161436,161468,l,5,158070,162657,629
2299,161469,161469,161501,l,5,158070,162657,629
2300,161502,161502,161534,l,5,158070,162657,629
2301,161535,161535,161567,l,5,158070,162657,629
